epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.61595,1.41769,4.23972,1.15857,0.0001,0.01484,0.00019,2e-05,1.43076,4.06774,1.02461,0.00015554,0.00015554,0.00015554
2,9.98024,1.45551,2.81839,1.13063,0.00063,0.09212,0.00704,0.00176,1.21319,4.04077,0.99654,0.000320064,0.000320064,0.000320064
3,14.3751,1.35804,2.33067,1.10008,0.00164,0.22635,0.00694,0.00385,1.44333,4.06297,1.13359,0.000482387,0.000482387,0.000482387
4,18.7766,1.37709,2.07487,1.12964,0.00193,0.2931,0.13793,0.08305,1.44557,3.91067,1.13409,0.000642511,0.000642511,0.000642511
5,23.175,1.36929,1.84734,1.13313,1,0.10562,0.73451,0.46871,1.28401,3.00168,1.06315,0.000800436,0.000800436,0.000800436
6,27.5862,1.36086,1.72954,1.11381,1,0.06322,0.51387,0.30833,1.23012,2.92141,1.08097,0.00095616,0.00095616,0.00095616
7,32,1.32085,1.65632,1.12608,0.90164,0.38073,0.77424,0.51978,1.11368,2.3703,1.0318,0.001067,0.001067,0.001067
8,36.4338,1.28792,1.47557,1.11467,0.84535,0.75653,0.88443,0.54152,1.29861,1.64136,1.08391,0.00105967,0.00105967,0.00105967
9,40.9042,1.2554,1.40082,1.08969,0.92806,0.68396,0.88512,0.57729,1.19321,1.65181,1.05274,0.00105234,0.00105234,0.00105234
10,45.3788,1.25954,1.31191,1.08049,0.86517,0.66549,0.83977,0.59684,1.04319,1.56227,1.00036,0.00104501,0.00104501,0.00104501
11,49.8489,1.2741,1.3522,1.10638,0.93579,0.84568,0.93523,0.5798,1.27755,1.09966,1.07284,0.00103767,0.00103767,0.00103767
12,55.6747,1.2194,1.28778,1.1063,0.96224,0.84443,0.94692,0.66733,1.04631,0.96284,1.01382,0.00103034,0.00103034,0.00103034
13,62.5272,1.19529,1.2175,1.0963,0.95325,0.91161,0.96587,0.58745,1.40608,0.9011,1.15215,0.00102301,0.00102301,0.00102301
14,69.3515,1.22988,1.23888,1.08488,0.89557,0.95862,0.96754,0.60518,1.34873,0.78616,1.11296,0.00101568,0.00101568,0.00101568
